id,title_x,link,id_y,title_y,imgs,desc,tags,features,fit,materials,,,,,,,,,
1711653523046842369,Uma V Neck,https://www.agjeans.com//products/uma-v-neck-made-in-italy-lcb70311idu,1.71E+18,Uma V Neck,"[""https://cdn.shopify.com/s/files/1/0664/9036/8232/files/LCB70311IDU_1.jpg?v=1694037897""]","<p>The Uma V Neck is an elevated fine-gauge sweater, spun from naturally soft and lightweight Italian cashmere. Done here in white, it's designed for a slightly relaxed fit with long sleeves and ribbed trim.</p><p> SKU#: LCB70311IDU   </p> <p>100% Cashmere</p>",,"{""materials"": [""Cashmere""]}",,"""Cashmere""",,,,,,,,,
1711653531049574401,Poppy Dress,https://www.agjeans.com//products/poppy-dress-belted-shirt-dress-big6266dwel,1.71E+18,Poppy Dress,"[""https://cdn.shopify.com/s/files/1/0664/9036/8232/files/BIG6266DWEL_1.jpg?v=1694477331""]","<p>Poppy is a popover shirt dress made from lightweight cotton chambray in a classic medium wash. The puff-sleeve style has a snap placket, patch pockets, and a self-tie belt to cinch the waist. Finished with marigold topstitching and a thigh-grazing curved hem.</p><p> SKU#: BIG6266DWEL  </p> <p>Boundless Lightweight Indigo, 7.25 Oz. 100% Cotton</p>",,"{""materials"": [""Denim""]}",,"""Denim""",,,,,,,,,
1711653688050761730,Arllow Cropped Jacket,https://www.agjeans.com//products/arllow-cropped-jacket-essential-trucker-chu4628sest,1.71E+18,Arllow Cropped Jacket,"[""https://cdn.shopify.com/s/files/1/0664/9036/8232/files/CHU4628SEST_1.jpg?v=1694476438""]","<p>The Cropped Arllow jacket is your essential trucker jacket updated with double-needle seam detailing at the sleeves and an elasticized waist to cinch the shape. It's made from 11.9 oz. Chaby Blue denim with a faded medium wash and stretch added for extra comfort.</p><p> SKU#: CHU4628SEST  </p> <p>Chaby Blue, 11.9 Oz. 99% Cotton, 1% Elastane</p>",,"{""materials"": [""Denim""]}",,"""Denim""",,,,,,,,,
1711653852148711425,Jade Coat,https://www.agjeans.com//products/jade-coat-made-in-italy-dwp4464hgiv,1.71E+18,Jade Coat,"[""https://cdn.shopify.com/s/files/1/0664/9036/8232/files/DWP4464HGIV_1.jpg?v=1694037664""]","<p>The Jade Coat offers an elevated finish to your cold-weather layers. Made in Italy from a double-faced wool blend, this plaid coat is cut in a mid-length silhouette with drop shoulders for a relaxed fit. It's got notched lapels, a single button closure, and side slit pockets.</p><p> SKU#: DWP4464HGIV  </p> <p>80% Wool, 20% Polyamide</p>",,"{""materials"": [""Wool""]}",,"""Wool""",,,,,,,,,
1711653859778150402,Dries Travel Blanket,https://www.agjeans.com//products/dries-travel-blanket-packable-blanket-fny3081tcblmt,1.71E+18,Dries Travel Blanket,"[""https://cdn.shopify.com/s/files/1/0664/9036/8232/files/FNY3081TCBLMT_1.jpg?v=1694476860""]","<p>The Dries Travel Blanket is a vintage-inspired quilted cotton blanket that's easy to tote around. It's got a geometric triangle motif on one side and a ditsy floral print on the other, plus heavy twill handles that let you sling it over your shoulder. The blanket bag unrolls and packs up effortlesslyâperfect for picnicking, lounging, and bringing an element of comfort to your weekend excursions.</p><p> SKU#: FNY3081TCBLMT</p> <p>Fine Cotton Quilt, 100% Cotton, Nylon filling</p>",,"{""materials"": [""Jersey""]}",,"""Jersey""",,,,,,,,,
1711654038619078657,Rory Jacket,https://www.agjeans.com//products/rory-jacket-classic-motto-jacket-rll4478tbc,1.71E+18,Rory Jacket,"[""https://cdn.shopify.com/s/files/1/0664/9036/8232/files/RLL4478TBC_1.jpg?v=1694038335""]","<p>The Rory Jacket for women in True Black is our take on the traditional moto leather jacket. This new silhouette features a classic moto waist belt, fully lined interior, a signature boxy fit, and elevated zip closures. Designed in a new Apollo Leatherâthis motorcycle-inspired jacket is a collective essence of cool.</p><p> SKU#: RLL4478TBC   </p> <p>Apollo Leather, 100% Leather</p>",,"{""materials"": [""Leather""]}",,"""Leather""",,,,,,,,,
1711654181439324161,Kara Short Coat,https://www.agjeans.com//products/kara-short-coat-made-in-italy-sbw4336mmehgn,1.71E+18,Kara Short Coat,"[""https://cdn.shopify.com/s/files/1/0664/9036/8232/files/SBW4336MMEHGN_1.jpg?v=1694038363""]","<p>The Kara Short Coat is a double-breasted style made from naturally insulating boiled wool in subtly speckled hunter green. Tailored in Italy for an impeccable silhouette, the style has a cropped, boxy fit with raglan sleeves, notched lapels, and button closures. A modern addition to your winter outerwear.</p><p> SKU#: SBW4336MMEHGN</p> <p>Speckled Boiled Wool, 73% Virgin Wool, 27% Polyamide</p>",,"{""materials"": [""Wool""]}",,"""Wool""",,,,,,,,,
1711654185465856002,Alanna Jacket,https://www.agjeans.com//products/alanna-jacket-cropped-jacket-sgd4641idyl,1.71E+18,Alanna Jacket,"[""https://cdn.shopify.com/s/files/1/0664/9036/8232/files/SGD4641IDYL_1.jpg?v=1694038458""]","<p>The Alanna Jacket is a cropped and collarless take on the classic denim trucker. It's crafted from 100% cotton 12.75 oz. Savior Rigid Denim in a light wash, complete with a natural-looking fade and subtle variations in the indigo.</p><p> SKU#: SGD4641IDYL  </p> <p>Savior Rigid Denim, 12.75 Oz. 100% Cotton</p>",,"{""materials"": [""Denim""]}",,"""Denim""",,,,,,,,,
1711654186803838977,Danna Coat,https://www.agjeans.com//products/danna-coat-made-in-italy-sqw4491suwnbw,1.71E+18,Danna Coat,"[""https://cdn.shopify.com/s/files/1/0664/9036/8232/files/SQW4491SUWNBW_1.jpg?v=1694038458""]","<p>The Danna Coat is a striking outer layer in a luxurious wool blend patterned with a walnut-hued plaid. Tailored in Italy, it's cut for a long, oversized silhouette with double-breasted styling, peaked lapels, and flap pockets.</p><p> SKU#: SQW4491SUWNBW</p> <p>Square Plaid Wool, 74% Wool, 25% Polyamide</p>",,"{""materials"": [""Wool""]}",,"""Wool""",,,,,,,,,
1711654188049547266,Kingsley Blazer,https://www.agjeans.com//products/kingsley-blazer-made-in-italy-swg4453tbid,1.71E+18,Kingsley Blazer,"[""https://cdn.shopify.com/s/files/1/0664/9036/8232/files/SWG4453TBID_1.jpg?v=1694038546""]","<p>The Kingsley Blazer offers a modern take on tailored style in a slightly oversized silhouette with drop shoulders and an extended length. Crafted in Italy from a lightweight wool blend, this double-breasted jacket features subtle structuring and a timeless houndstooth plaid that nods to heritage menswear. Detailed with welt pockets, button closures, and a single back vent.</p><p> SKU#: SWG4453TBID  </p> <p>34% Polyster, 32% Wool, 33% Viscose, 1% Elastane</p>",,"{""materials"": [""Wool""]}",,"""Wool""",,,,,,,,,
